Model,Accuracy,Precision,Recall,F1,AUC
Naive Bayes,0.9055626381783852,0.8836220639812945,0.9066850848813116,0.8950050236830773,0.966144684467693
SVM,0.9535236496845095,0.9458705963286144,0.9496528408884365,0.9477579451458424,0.9902523567121309
Random Forest,0.9110332919134378,0.9091822308207456,0.8883274564687921,0.8986338647103168,0.9704711892041027
Stacking (LR),0.9538464021172559,0.947463965435864,0.948634992184376,0.9480491171982852,0.9897200439433854
