Model,Accuracy,Precision,Recall,F1,AUC
Stacking,0.9570725409505366,0.9490330742815832,0.954553717505908,0.9517853906108392,0.9915645052875418
SVM,0.9568304688130396,0.9483568075117371,0.9547355026358844,0.9515354651689465,0.9914372398708071
Random Forest,0.9161623497135479,0.9119276218611522,0.8978367569532812,0.9048273335165339,0.9727936344186036
Naive Bayes,0.9033325264262083,0.8812688286372496,0.9040174513724777,0.8924982053122756,0.9648108880746951
